SiW-NPU, P1:
 train from pre-trained data!
epoch:1, Train: Absolute_Depth_loss= 0.0379, Contrastive_Depth_loss= 0.0071 
epoch:2, Train: Absolute_Depth_loss= 0.0289, Contrastive_Depth_loss= 0.0060 
epoch:3, Train: Absolute_Depth_loss= 0.0247, Contrastive_Depth_loss= 0.0058 
epoch:4, Train: Absolute_Depth_loss= 0.0221, Contrastive_Depth_loss= 0.0056 
epoch:5, Train: Absolute_Depth_loss= 0.0224, Contrastive_Depth_loss= 0.0056 
epoch:6, Train: Absolute_Depth_loss= 0.0203, Contrastive_Depth_loss= 0.0054 
epoch:7, Train: Absolute_Depth_loss= 0.0195, Contrastive_Depth_loss= 0.0052 
epoch:8, Train: Absolute_Depth_loss= 0.0184, Contrastive_Depth_loss= 0.0051 
epoch:9, Train: Absolute_Depth_loss= 0.0192, Contrastive_Depth_loss= 0.0053 
epoch:10, Train: Absolute_Depth_loss= 0.0193, Contrastive_Depth_loss= 0.0053 
epoch:11, Train: Absolute_Depth_loss= 0.0175, Contrastive_Depth_loss= 0.0051 
epoch:12, Train: Absolute_Depth_loss= 0.0181, Contrastive_Depth_loss= 0.0051 
epoch:13, Train: Absolute_Depth_loss= 0.0161, Contrastive_Depth_loss= 0.0051 
epoch:14, Train: Absolute_Depth_loss= 0.0160, Contrastive_Depth_loss= 0.0050 
epoch:15, Train: Absolute_Depth_loss= 0.0157, Contrastive_Depth_loss= 0.0049 
epoch:16, Train: Absolute_Depth_loss= 0.0178, Contrastive_Depth_loss= 0.0051 
epoch:17, Train: Absolute_Depth_loss= 0.0151, Contrastive_Depth_loss= 0.0049 
epoch:18, Train: Absolute_Depth_loss= 0.0156, Contrastive_Depth_loss= 0.0051 
epoch:19, Train: Absolute_Depth_loss= 0.0152, Contrastive_Depth_loss= 0.0049 
epoch:20, Train: Absolute_Depth_loss= 0.0155, Contrastive_Depth_loss= 0.0050 

 epoch:20, Val:  val_threshold= 0.4250, val_ACC= 0.9962, val_ACER= 0.0063 
epoch:20, Test:  ACC= 0.9981, APCER= 0.0000, BPCER= 0.0067, ACER= 0.0033 
epoch:21, Train: Absolute_Depth_loss= 0.0153, Contrastive_Depth_loss= 0.0048 
epoch:22, Train: Absolute_Depth_loss= 0.0149, Contrastive_Depth_loss= 0.0049 
epoch:23, Train: Absolute_Depth_loss= 0.0146, Contrastive_Depth_loss= 0.0050 
epoch:24, Train: Absolute_Depth_loss= 0.0152, Contrastive_Depth_loss= 0.0050 
epoch:25, Train: Absolute_Depth_loss= 0.0139, Contrastive_Depth_loss= 0.0048 
epoch:26, Train: Absolute_Depth_loss= 0.0136, Contrastive_Depth_loss= 0.0047 
epoch:27, Train: Absolute_Depth_loss= 0.0132, Contrastive_Depth_loss= 0.0047 
epoch:28, Train: Absolute_Depth_loss= 0.0139, Contrastive_Depth_loss= 0.0049 
epoch:29, Train: Absolute_Depth_loss= 0.0135, Contrastive_Depth_loss= 0.0046 
epoch:30, Train: Absolute_Depth_loss= 0.0129, Contrastive_Depth_loss= 0.0048 
epoch:31, Train: Absolute_Depth_loss= 0.0137, Contrastive_Depth_loss= 0.0048 
epoch:32, Train: Absolute_Depth_loss= 0.0151, Contrastive_Depth_loss= 0.0048 
epoch:33, Train: Absolute_Depth_loss= 0.0137, Contrastive_Depth_loss= 0.0048 
epoch:34, Train: Absolute_Depth_loss= 0.0130, Contrastive_Depth_loss= 0.0047 
epoch:35, Train: Absolute_Depth_loss= 0.0139, Contrastive_Depth_loss= 0.0047 
epoch:36, Train: Absolute_Depth_loss= 0.0144, Contrastive_Depth_loss= 0.0048 
epoch:37, Train: Absolute_Depth_loss= 0.0131, Contrastive_Depth_loss= 0.0047 
epoch:38, Train: Absolute_Depth_loss= 0.0126, Contrastive_Depth_loss= 0.0048 
epoch:39, Train: Absolute_Depth_loss= 0.0135, Contrastive_Depth_loss= 0.0048 
epoch:40, Train: Absolute_Depth_loss= 0.0111, Contrastive_Depth_loss= 0.0045 

 epoch:40, Val:  val_threshold= 0.3499, val_ACC= 0.9962, val_ACER= 0.0063 
epoch:40, Test:  ACC= 1.0000, APCER= 0.0000, BPCER= 0.0000, ACER= 0.0000 
epoch:41, Train: Absolute_Depth_loss= 0.0107, Contrastive_Depth_loss= 0.0044 
epoch:42, Train: Absolute_Depth_loss= 0.0108, Contrastive_Depth_loss= 0.0044 
epoch:43, Train: Absolute_Depth_loss= 0.0107, Contrastive_Depth_loss= 0.0044 
epoch:44, Train: Absolute_Depth_loss= 0.0114, Contrastive_Depth_loss= 0.0044 
epoch:45, Train: Absolute_Depth_loss= 0.0103, Contrastive_Depth_loss= 0.0043 
epoch:46, Train: Absolute_Depth_loss= 0.0099, Contrastive_Depth_loss= 0.0044 
epoch:47, Train: Absolute_Depth_loss= 0.0105, Contrastive_Depth_loss= 0.0044 
epoch:48, Train: Absolute_Depth_loss= 0.0101, Contrastive_Depth_loss= 0.0042 
epoch:49, Train: Absolute_Depth_loss= 0.0092, Contrastive_Depth_loss= 0.0042 
epoch:50, Train: Absolute_Depth_loss= 0.0101, Contrastive_Depth_loss= 0.0044 
epoch:51, Train: Absolute_Depth_loss= 0.0098, Contrastive_Depth_loss= 0.0043 
epoch:52, Train: Absolute_Depth_loss= 0.0096, Contrastive_Depth_loss= 0.0043 
epoch:53, Train: Absolute_Depth_loss= 0.0098, Contrastive_Depth_loss= 0.0042 
epoch:54, Train: Absolute_Depth_loss= 0.0101, Contrastive_Depth_loss= 0.0043 
epoch:55, Train: Absolute_Depth_loss= 0.0093, Contrastive_Depth_loss= 0.0042 
epoch:56, Train: Absolute_Depth_loss= 0.0091, Contrastive_Depth_loss= 0.0041 
epoch:57, Train: Absolute_Depth_loss= 0.0095, Contrastive_Depth_loss= 0.0042 
epoch:58, Train: Absolute_Depth_loss= 0.0098, Contrastive_Depth_loss= 0.0042 
epoch:59, Train: Absolute_Depth_loss= 0.0100, Contrastive_Depth_loss= 0.0043 
epoch:60, Train: Absolute_Depth_loss= 0.0093, Contrastive_Depth_loss= 0.0043 

